values	weights
Tharai	1
Theda	1
Thekla	1
Thenuri	1
Theodora	1
Theresa	1
Tia	1
Tiana	1
Tiia	1
Tilde	1
Tilla	1
Tiril	1
Tjorven	1
Tomma	1
Tosca	1
Toshie	1
Toula	1
Tyra	1
Uljana	1
Umai	1
Una	1
Valerija	1
Varvara	1
Vereniki	1
Vibha	1
Vilda	1
Villanelle	1
Vilma	1
Violetta	1
Vita	1
Viviane	1
Wakilia	1
Warwara	1
Wiebke	1
Xenia	1
Xinghe	1
Yagmur	1
YamĂee	1
Yana	1
Yani	1
YankÄ±	1
Yasmine	1
YaĂ«l	1
YaĂ«li	1
Yedda	1
Ylvie	1
Yola	1
Youna	1
Yuanxi	1
Yuha	1
Yuka	1
Yulisa	1
Zahara	1
Zahra	1
Zaia	1
Zainab	1
Zenaide	1
Zerya	1
Zeyneb	1
Zihui	1
Zofia	1
Zora	1
Zoubeida	1
Zoya	1
ZoĂ«	1
Zsazsa	1
Zuzanna	1
Ă–mĂĽr	1
ĂśmmĂĽ	1
Ăśrkus	1
Ä’liane	1
Ĺžura	1
Abdelhakim	1
Abdulhakem	1
Adele	1
Agyapomaa	1
Ai	1
Aino	1
Akari	1
Al-Nur	1
Al-Qutbia	1
Albertine	1
Aleksandrovna	1
Alekseevna	1
Alessandra	1
Aletheia	1
Alexeyevna	1
Alexis	1
Alice	1
Alida	1
Aljona	1
Alma	1
Aloisia	1
Amara	1
Amarachi	1
Amari	1
Amina	1
Amiya	1
AmĂelie	1
Anastasia	1
Anastasija	1
Anastazja	1
Anays	1
Andreevna	1
Andromeda	1
Aneley	1
Anna-Maija	1
Anneli	1
Annelie	1
Annie	1
Anti	1
Antonie	1
Anu	1
Anuthida	1
April	1
Arwa	1
Aslihan	1
Assunta	1
Astra	1
AurĂelia	1
Avellana	1
Avin	1
AvĹźin	1
Awa	1
Ayat	1
Ayla	1
Aylin	1
Ayodele	1
Aysel	1
Azadeh	1
Azimah	1
Azize	1
Azra	1
Azul	1
Bao	1
Bar	1
Bear	1
Beba	1
Belinda	1
BelĂen	1
Benski	1
Berlin	1
Bernadette	1
Berta	1
Beyna	1
Bianca	1
Bijou	1
Birgit	1
BáşŁo-Vy	1
Cansu	1
Carmen	1
Carolina	1
Caterina	1
Catherine	1
Celeste	1
Cennet	1
Chantal	1
Cheon-Sa	1
Chihiro	1
Chloe	1
Christa	1
Christin	1
Christonia	1
Citlali	1
Clarisa	1
Clio	1
CĂelestine	1
Dana	1
Daniela	1
Daphne	1
Deliah	1
Delphine	1
Denise	1
Destiny	1
Diana	1
Donata	1
Dora	1
Dorothee	1
DoÄźa	1
Dragomirova	1
Dudu	1
Edith	1
Elara	1
Eleanor	1
Elen	1
Eleya	1
Eliana	1
Elicia	1
Elif	1
Eliz	1
Ella	1
Elle	1
Elva	1
Emanuelova	1
Emelina	1
Emely-Hiwa	1
Emilova	1
Emma	1
Emmi	1
Enisa	1
Enni	1
Ermina	1
Ernistovna	1
Esila	1
Estelle	1
Ester	1
Esti	1
Evelyn	1
Eya	1
Faisal	1
Faritovna	1
Felice	1
Felicitas	1
Felina	1
Feline	1
Feriha	1
Fernanda	1
Feyrouz	1
Fiby	1
Filipa	1
Fina	1
Fiona	1
Fiora	1
Fleur	1
Flor	1
Flora	1
Florence	1
Florina	1
Folade	1
Foxi	1
FranĂ§oisovna	1
Freya	1
Fri	1
Fritzi	1
Gabriele	1
Gabrijela	1
Galeva	1
Galina	1
Gayal	1
Georgina	1
Georgine	1
Gertrud	1
Gia	1
Gioia	1
Gisel	1
