values	weights
 Linden	2269
 Ring	2266
 Schild	2262
 Schult	2258
 Teichert	2258
 Rosenberg	2256
 Tischer	2252
 Kuhnert	2252
 Buchwald	2251
 Wende	2249
 Weil	2248
 Röhl	2247
 Stengel	2246
 Aßmann	2242
 Schuldt	2242
 Braune	2240
 Tietze	2240
 Denk	2239
 Ulbricht	2237
 Dengler	2233
 Kahle	2233
 Merkle	2233
 Bergner	2232
 Lohr	2230
 Willmann	2227
 Heymann	2226
 Hauschild	2226
 Gerke	2222
 Hauke	2222
 Weimer	2220
 Spieß	2219
 Hirt	2218
 Willms	2217
 Mager	2214
 Arendt	2210
 Arens	2209
 Schlichting	2208
 Gast	2208
 Knopp	2208
 Hartig	2205
 Koslowski	2204
 Lucas	2198
 Buß	2196
 Kretschmann	2194
 Sack	2190
 Jentsch	2187
 Gräfe	2185
 Carstensen	2185
 Brune	2183
 Hillmann	2178
 Senger	2177
 Wenz	2176
 Erler	2176
 Holl	2175
 Spitzer	2176
 Keim	2174
 Dirks	2173
 Wendland	2173
 Bartl	2172
 Pagel	2171
 Dreßler	2171
 Häring	2169
 Kreutzer	2162
 Bloch	2163
 Kreis	2158
 Schreck	2157
 Benner	2156
 Huck	2156
 Strack	2155
 Günter	2154
 Erb	2152
 Kopf	2151
 Nitzsche	2149
 Dunkel	2145
 Ludewig	2144
 Schiemann	2142
 Eberhard	2133
 Laube	2133
 Drees	2131
 Suhr	2129
 Pauly	2127
 Steuer	2127
 Melcher	2124
 Droste	2123
 Georg	2118
 Geppert	2118
 Niedermeier	2116
 Hauptmann	2116
 Leopold	2116
 Willems	2115
 Martini	2115
 Blanke	2115
 Neufeld	2114
 Gericke	2112
 Buch	2106
 Strunk	2105
 Löwe	2102
 Strasser	2100
 Schünemann	2100
 Speck	2100
 Salomon	2101
 Hirschmann	2098
 Kaul	2095
 Jäkel	2093
 Koop	2086
 Hilbert	2086
 Fuß	2085
 Landwehr	2085
 Lösch	2084
 Guth	2084
 Eich	2084
 Donner	2082
 Danner	2081
 Semmler	2081
 Oster	2080
 Wunder	2079
 Neumeier	2079
 Engelbrecht	2078
 Rettig	2076
 Grewe	2075
 Gerstner	2071
 Hilger	2071
 Bolte	2069
 Pfau	2069
 Wieser	2067
 Dahm	2067
 Geis	2064
 Diedrich	2063
 Preis	2062
 Brauner	2062
 Grebe	2061
 Best	2054
 Sandmann	2050
 Krauss	2048
 Veith	2045
 Feller	2043
 Türk	2044
 Behrend	2041
 Knopf	2040
 Knappe	2040
 Theobald	2038
 Fischbach	2037
 Kasten	2036
 Drewes	2036
 Bruder	2035
 Rödel	2035
 Czech	2035
 Thiede	2034
 Hänsel	2031
 Wick	2029
 Ross	2029
 Mueller	2025
 Reith	2023
 Arslan	2018
 List	2017
 Brock	2017
 Henne	2016
 Dräger	2016
 Kersting	2014
 Helms	2014
 Lipp	2014
 Herzig	2012
 Teuber	2002
 Zenker	2001
 Walker	2001
 Markus	1997
 Liebl	1990
 Höpfner	1989
 Blümel	1988
 Althoff	1984
 Menz	1984
 Stangl	1983
 Häußler	1981
 Hauer	1979
 Aschenbrenner	1973
 Hofbauer	1972
 Dietl	1971
 Pflüger	1971
 Kirsten	1969
 Wittke	1969
 Lüders	1965
 Rickert	1965
 Blaschke	1965
 Eickhoff	1963
 Linde	1963
 Eberl	1962
 Reusch	1961
 Kube	1961
 Johann	1960
 Theisen	1960
 Scherf	1960
 Marten	1960
 Grohmann	1958
 Bäuerle	1958
 Wohlgemuth	1956
 Röttger	1956
 Euler	1956
 Haak	1954
 Steinhauer	1953
 Frese	1951
 Sonnenberg	1950
 Steinhoff	1950
 Schall	1949
 Michalski	1949
 Montag	1948
 Schöning	1947
 Hof	1947
 Werth	1945
 Rosenbaum	1945
 Gerth	1941
 Jürgensen	1940
 Nestler	1939
 Jungmann	1939
 Molitor	1939
 Loose	1938
 Nowack	1936
 Simons	1931
 Holler	1930
 Mehnert	1929
 Sandner	1927
 Dammann	1920
 Ruhland	1915
 Kiesel	1913
 Grünwald	1912
 Falke	1912
 Haake	1912
 Junghans	1912
 Zielinski	1910
 Scholze	1907
 Kreft	1906
 Nielsen	1905
 Seiffert	1904
 Dörner	1903
 Gerhards	1902
 Kaden	1900
 Stolze	1900
 Staudt	1900
 Stroh	1898
 Burkert	1896
 Flemming	1894
 Traub	1894
 Titze	1891
 Frerichs	1891
 Scheid	1887
 Reuß	1887
 Baldauf	1886
 Dörfler	1886
 Buss	1886
 Holtz	1883
 Taubert	1880
 Kühner	1880
 Meinecke	1878
 Zacharias	1877
 Messerschmidt	1877
 Hammerschmidt	1872
 Krull	1871
 Wiebe	1870
 Kampmann	1869
 Bluhm	1866
 Mehl	1866
 Kilic	1865
 Heid	1864
 Schmiedel	1864
 Reuther	1864
 Kaczmarek	1860
 Dittmer	1860
 Schlicht	1858
 Schaal	1857
 Borowski	1857
 Hell	1856
