values	weights
GRUCA	2756
WOJTASZEK	2754
ŚWIERCZEK	2750
SUDOŁ	2749
ORZEŁ	2747
SZCZYGIELSKA	2746
CHROBAK	2740
BARSZCZ	2739
BRODOWSKA	2739
WIELGUS	2739
PIECHOCKA	2736
BIAŁECKA	2731
SZCZUREK	2731
KRAUZE	2729
GÓRALCZYK	2728
KOKOSZKA	2728
WOŹNA	2718
ZAPAŁA	2716
JAROSZEWSKA	2714
MACH	2714
WEBER	2709
MĄCZKA	2703
BOJARSKA	2702
ZBOROWSKA	2700
BIELA	2698
PŁATEK	2697
GARBACZ	2695
CZARNOTA	2688
DYMEK	2683
JAMRÓZ	2680
PISZCZEK	2680
LOREK	2676
MATUSIK	2674
OŻÓG	2673
BATOR	2668
KOSTKA	2665
FIGURA	2661
DZIKOWSKA	2660
FERENC	2656
DUTKIEWICZ	2651
KOPROWSKA	2647
OLEŚ	2646
PASZEK	2643
STĘPNIEWSKA	2642
SZPAK	2638
GABRYŚ	2635
WALCZYK	2634
GRYGIEL	2633
GOŁĄBEK	2629
SALA	2629
KOCHANOWSKA	2628
TRACZYK	2628
KOŁODZIEJCZAK	2627
WDOWIAK	2626
BURDA	2622
SMOLAREK	2622
OSUCH	2620
ŁAWNICZAK	2618
PISKORZ	2617
PARADOWSKA	2616
SUROWIEC	2615
PANASIUK	2613
BERNAT	2610
GRABSKA	2607
BARTOSIEWICZ	2606
DOLATA	2606
BARTNICKA	2603
BŁAŻEJEWSKA	2603
SZYMANIAK	2603
GRELA	2602
KOLASIŃSKA	2602
MROWIEC	2602
ZAWISZA	2602
MULARCZYK	2601
KEMPA	2599
WINNICKA	2599
BARON	2598
CICHOSZ	2597
BROŻEK	2596
ADAMCZEWSKA	2595
ZAWISTOWSKA	2593
ZARĘBSKA	2591
MODRZEJEWSKA	2590
PLEWA	2588
STENCEL	2586
DOLIŃSKA	2585
KOZYRA	2585
WACHOWIAK	2584
WĄSOWSKA	2584
STACHOWSKA	2582
PÓŁTORAK	2579
WIELGOSZ	2574
MYŚLIWIEC	2573
MIECZKOWSKA	2571
ŚWITAŁA	2571
PIĘTA	2570
GAJ	2568
ZASADA	2568
ŁOŚ	2563
KOZERA	2558
LACHOWICZ	2558
ĆWIKLIŃSKA	2557
OKOŃ	2557
BIEL	2554
GALIŃSKA	2554
BŁOŃSKA	2551
WALIGÓRA	2539
KULIKOWSKA	2533
TYMIŃSKA	2532
GAZDA	2531
KRASKA	2529
RÓG	2527
GAŁECKA	2526
JEDYNAK	2526
OZGA	2525
SZADKOWSKA	2524
MAJDA	2520
KOŚCIELNIAK	2519
NADOLSKA	2519
JASKÓLSKA	2516
SZWEDA	2516
WŁOCH	2516
KOZICKA	2514
SZCZEPANEK	2510
MORAWIEC	2509
ZIMNA	2504
KAPICA	2503
BUREK	2502
SARNOWSKA	2499
KRAUSE	2493
BERNACKA	2492
ANTONIAK	2489
FRANCZAK	2488
FIGIEL	2485
SKWAREK	2485
KLIMAS	2484
MUSIOŁ	2484
SKORUPSKA	2483
BOROŃ	2479
FILIPCZAK	2470
SOBOCIŃSKA	2470
WILCZEWSKA	2470
KOSTRZEWSKA	2468
ŁACH	2468
KONIECZNY	2467
BIEŃ	2462
BOGDAN	2462
DZIURA	2461
BIAŁA	2460
MIŚ	2460
LEMAŃSKA	2457
PRZYBYSZEWSKA	2456
KLIMASZEWSKA	2454
BARTKOWSKA	2450
GLIŃSKA	2447
NIEZGODA	2447
RYCHLIK	2444
RUMIŃSKA	2440
MIREK	2437
SZUBERT	2437
GOŁASZEWSKA	2436
RYBA	2436
MELNYK	2435
SŁOMIŃSKA	2435
PASTUSZKA	2429
WISZNIEWSKA	2427
JACKIEWICZ	2425
NALEPA	2424
PIETRZYKOWSKA	2424
SEWERYN	2424
NADOLNA	2423
GAJEK	2422
JANECZEK	2418
TABOR	2418
KAZIMIERCZAK	2417
MŁYNARSKA	2417
OGÓREK	2417
CZAPLIŃSKA	2416
TUSZYŃSKA	2415
MAKAREWICZ	2411
DOBRZAŃSKA	2409
BŁASZKIEWICZ	2406
KRÓLIK	2406
SPYCHAŁA	2405
GÓRALSKA	2404
TURSKA	2404
RYBIŃSKA	2400
RYBACKA	2399
MARCZEWSKA	2395
PILARCZYK	2395
ŁUGOWSKA	2393
FLAK	2391
SOBCZYŃSKA	2391
WĘGLARZ	2391
SZAFRAN	2389
KREFT	2388
DANIEL	2385
DRĄG	2385
MACHNIK	2385
WALAS	2385
GALAS	2384
NEUMANN	2382
MATCZAK	2381
CZUBA	2379
GAŁUSZKA	2379
CIOŁEK	2374
KASPERSKA	2373
ZIOMEK	2373
PODSIADŁO	2371
WYDRA	2369
STOPA	2367
KĄKOL	2364
WOLNY	2364
STRZAŁKOWSKA	2363
IWANICKA	2362
KŁOSIŃSKA	2357
RADZIKOWSKA	2356
WCISŁO	2355
ĆWIK	2352
MIKUŁA	2352
BOJANOWSKA	2348
PIEŃKOWSKA	2348
SZOSTEK	2347
SŁOMKA	2344
ZAWIŚLAK	2344
SOBOŃ	2342
FURTAK	2340
MARCINKIEWICZ	2340
RADWAŃSKA	2340
KOBYLIŃSKA	2338
LEWCZUK	2337
SITKO	2337
GUZ	2335
KLEIN	2335
WNĘK	2335
NYCZ	2333
ŚWIERCZ	2332
WACHOWSKA	2332
KULAS	2328
MACHOWSKA	2327
CHOJECKA	2326
GIZA	2324
NOSAL	2322
FRANKIEWICZ	2321
DUSZA	2318
KRASUSKA	2318
ANTKOWIAK	2317
LUDWICZAK	2316
PORĘBA	2316
PIWOWAR	2314
TOPOLSKA	2314
GROBELNA	2309
KALITA	2309
WILIŃSKA	2309
KOŁACZ	2306
ROKITA	2305
KALBARCZYK	2303
ŚLIWKA	2303
OLENDER	2302
IWANOWSKA	2301
CZAPIEWSKA	2300
MARKOWICZ	2300
KLONOWSKA	2298
JOŃCZYK	2297
KORNACKA	2297
BRYŁA	2294
SMYK	2293
BUDA	2290
RĄCZKA	2284
PATER	2282
KLUSKA	2278
BOROWIAK	2277
NAPIÓRKOWSKA	2277
PAJOR	2271
MIZERA	2268
MISZCZAK	2267
WASZAK	2266
BACZYŃSKA	2264
DOMAGALSKA	2264
GREGORCZYK	2264
RYDZEWSKA	2262
CHYLIŃSKA	2261
IWAN	2261
ZATORSKA	2257
TRUSZKOWSKA	2246
KOMAR	2245
MASTALERZ	2245
GĄSKA	2244
PIEKARZ	2244
KIELAR	2241
KONDRACKA	2238
GWIAZDA	2235
SUCHOCKA	2235
SZEWCZUK	2228
OSIECKA	2227
RAKOCZY	2225
DUDKIEWICZ	2224
WIERZCHOWSKA	2224
JAKUBCZAK	2222
PISARSKA	2222
KOZIŃSKA	2221
OSTASZEWSKA	2218
SITARZ	2218
DREWNIAK	2216
ZALESKA	2215
CZUBAK	2212
WOJDYŁA	2209
DWORAK	2203
DĘBICKA	2201
MOSKWA	2201
STAROŃ	2198
SZAFRANIEC	2197
CHOWANIEC	2196
SAKOWSKA	2195
TARKA	2195
MACIASZEK	2194
MOTYL	2193
CZERWONKA	2190
SZLACHTA	2190
POPIOŁEK	2188
MATUSZCZAK	2186
WIDERA	2186
PYKA	2185
ZIEMBA	2185
MOROZ	2183
WOJNOWSKA	2181
MALCZEWSKA	2179
KUNICKA	2178
BABIARZ	2174
KARBOWSKA	2172
BOROWICZ	2171
TRZASKA	2170
IWANIUK	2168
DAWIDOWSKA	2166
MIKOŁAJEWSKA	2166
BLOCH	2165
BADURA	2163
MILER	2163
ZAŁĘSKA	2162
BOGDANOWICZ	2160
TROJAN	2160
PLUCIŃSKA	2159
CIEŚLIŃSKA	2157
ŁUCZYŃSKA	2153
